date,open,close,high,low,volume,money,turnover,turnover_free,factor
2026-09-07,45.0,41.25,48.86,41.22,83931.59,375949.27357,0.0,0.0,1.0
2026-09-08,38.08,35.85,39.0,35.7,46467.37,170418.05643,0.0,0.0,1.0
2026-09-09,35.98,35.15,36.49,35.0,24016.62,85441.18982,0.0,0.0,1.0
2026-09-10,35.0,35.49,37.2,34.89,24399.75,87922.30548,0.0,0.0,1.0
2026-09-11,34.8,36.1,37.33,34.34,24194.97,86904.45879,0.0,0.0,1.0
2026-09-14,35.8,35.35,36.55,33.8,20286.81,71281.12433,0.0,0.0,1.0
2026-09-15,35.0,33.66,35.45,33.6,18821.86,64651.19204,0.0,0.0,1.0
2026-09-16,33.5,33.66,33.91,33.0,13110.44,43908.48465,0.0,0.0,1.0
2026-09-17,33.66,33.27,34.2,33.23,13376.2,44936.16232,0.0,0.0,1.0
2026-09-18,33.4,35.38,36.36,33.26,26496.16,92401.65376,0.0,0.0,1.0
