date,open,close,high,low,volume,money,turnover,turnover_free,factor
2026-08-25,209.0,235.0,262.0,200.01,152106.2,3482428.14,0.0,0.0,1.0
2026-08-26,239.67,299.48,299.48,239.67,92132.82,2529150.623,0.0,0.0,1.0
2026-08-27,295.0,300.0,303.0,280.0,50693.36,1489769.19,0.0,0.0,1.0
2026-08-28,291.0,269.01,297.37,268.0,47124.37,1338444.152,0.0,0.0,1.0
2026-08-31,260.41,285.0,291.0,252.5,43145.2,1193084.777,0.0,0.0,1.0
2026-09-01,275.85,265.2,288.88,262.0,38439.97,1049866.22,0.0,0.0,1.0
2026-09-02,257.0,278.87,284.86,245.11,34452.01,927926.526,0.0,0.0,1.0
2026-09-03,275.5,288.26,296.5,275.5,27562.52,794477.227,0.0,0.0,1.0
2026-09-04,291.0,271.0,294.0,268.0,26377.37,733244.079,0.0,0.0,1.0
2026-09-07,277.48,290.03,296.98,271.57,29797.51,863213.896,0.0,0.0,1.0
2026-09-08,287.13,270.95,287.13,266.18,28825.37,795047.193,0.0,0.0,1.0
2026-09-09,269.0,258.58,274.55,255.88,20571.3,538217.36,0.0,0.0,1.0
2026-09-10,258.0,252.98,261.8,248.0,15786.89,402486.649,0.0,0.0,1.0
2026-09-11,261.0,270.34,289.77,261.0,40122.31,1094792.037,0.0,0.0,1.0
2026-09-14,274.0,324.41,324.41,274.0,36734.27,1128312.888,0.0,0.0,1.0
2026-09-15,325.0,307.88,329.93,305.36,39201.15,1231822.073,0.0,0.0,1.0
2026-09-16,309.88,333.0,333.0,303.15,40006.25,1276521.661,0.0,0.0,1.0
2026-09-17,330.0,334.21,343.0,325.01,27576.63,921742.2,0.0,0.0,1.0
2026-09-18,338.0,345.01,358.0,331.0,33707.53,1160552.21,0.0,0.0,1.0
2026-09-21,335.0,368.8,370.44,330.03,28388.37,993454.094,0.0,0.0,1.0
