date,open,close,high,low,volume,money,turnover,factor,turnover_free
2026-08-12,44.4,41.33,45.0,40.66,43552.35,181963.23369,82.5804,1.0,0.0
2026-08-13,41.04,40.34,41.85,40.34,29002.36,118622.84074,0.0,1.0,0.0
2026-08-14,40.09,38.45,40.6,38.38,23453.34,91842.84986,0.0,1.0,0.0
2026-08-17,38.01,38.5,38.88,37.7,13282.8,50849.47271,0.0,1.0,0.0
2026-08-18,38.62,39.25,41.3,38.62,21479.85,85957.77746,0.0,1.0,0.0
2026-08-19,38.49,36.48,38.49,36.3,18444.45,68260.80258,0.0,1.0,0.0
2026-08-20,36.79,36.55,38.3,36.39,11484.51,42713.32554,2.379,1.0,11.9568
2026-08-21,36.76,37.35,37.4,36.52,10064.38,37235.83011,2.0848,1.0,10.4782
2026-08-24,37.08,36.19,37.19,35.57,9016.82,32728.25154,1.8678,1.0,9.3876
2026-08-25,36.19,37.98,38.96,36.05,15641.01,59426.21587,3.24,1.0,16.2842
2026-08-26,37.4,37.63,39.26,37.39,12201.41,46577.44787,2.5275,1.0,12.7031
2026-08-27,37.45,37.98,37.98,37.12,8559.84,32134.4313,1.7732,1.0,8.9118
2026-08-28,38.05,36.82,38.05,36.82,7951.65,29704.32451,1.6472,1.0,8.2786
2026-08-31,36.48,36.63,36.64,36.1,4241.54,15394.10783,0.8786,1.0,4.416
2026-09-01,36.83,38.42,39.48,36.53,15921.78,60978.68631,3.2982,1.0,16.5765
2026-09-02,37.5,39.49,42.0,37.2,33205.27,132765.67336,6.8785,1.0,34.5707
2026-09-03,38.1,39.2,42.1,38.0,23010.81,91490.22163,4.7667,1.0,23.957
2026-09-04,38.38,37.47,39.33,37.28,16810.38,64347.08159,3.4823,1.0,17.5016
2026-09-07,37.3,36.4,37.35,36.25,12053.27,44096.99307,2.4968,1.0,12.5489
2026-09-08,36.2,36.23,36.99,35.66,8301.12,30086.16823,1.7196,1.0,8.6425
2026-09-09,35.9,35.16,36.15,35.0,8901.57,31618.23468,1.844,1.0,9.2676
2026-09-10,34.79,34.56,35.4,34.45,5032.94,17560.1578,1.0426,1.0,5.2399
2026-09-11,34.4,33.66,34.4,33.4,4960.59,16735.44594,1.0276,1.0,5.1646
2026-09-14,33.83,34.04,34.2,33.43,2923.91,9923.28315,0.6057,1.0,3.0441
2026-09-15,33.68,33.54,34.3,33.45,3211.53,10857.66747,0.6653,1.0,3.3436
2026-09-16,33.57,34.0,34.85,33.25,6057.04,20643.85933,1.2547,1.0,6.3061
2026-09-17,33.8,33.95,34.28,33.48,5029.07,17066.98774,1.0418,1.0,5.2359
2026-09-18,34.28,35.6,35.9,33.92,11650.47,40994.02288,2.4134,1.0,12.1295
2026-09-21,35.59,35.68,36.21,35.18,7092.77,25294.92447,1.4693,1.0,7.3844
2026-09-22,35.8,35.51,35.99,35.21,5192.95,18427.71571,1.0757,1.0,5.4065
