date,open,close,high,low,volume,money,turnover,factor,turnover_free
2026-08-12,104.0,114.88,124.0,99.9,140339.6,1548185.005,83.7423,1.0,0.0
2026-08-13,115.0,98.51,116.88,97.1,121674.81,1285541.96,46.73,1.0,0.0
2026-08-14,94.1,103.11,103.6,93.29,90101.31,891424.717,34.6,1.0,0.0
2026-08-17,100.1,104.95,106.32,99.6,74226.76,767284.881,0.0,1.0,0.0
2026-08-18,102.11,97.1,105.99,94.08,82415.66,824680.168,0.0,1.0,0.0
2026-08-19,92.33,79.42,92.87,78.0,79241.7,663949.883,0.0,1.0,0.0
2026-08-20,81.0,81.16,83.48,75.11,50355.62,396812.205,1.2589,1.0,19.3385
2026-08-21,79.95,89.59,97.39,79.0,110985.68,1024157.456,2.7746,1.0,42.6228
2026-08-24,90.55,97.0,98.6,88.92,74197.53,686183.594,1.8549,1.0,28.4947
2026-08-25,92.33,102.96,105.88,90.0,83457.3,830807.687,2.0864,1.0,32.0508
2026-08-26,105.26,118.5,123.55,102.55,103075.67,1165348.075,2.5768,1.0,39.5851
2026-08-27,117.3,115.38,118.87,110.1,82423.78,934056.391,2.0605,1.0,31.6539
2026-08-28,113.03,105.03,113.25,103.49,77401.63,831503.464,1.935,1.0,29.7252
2026-08-31,102.0,102.5,106.45,100.68,41198.07,422210.826,1.0299,1.0,15.8217
2026-09-01,103.02,96.56,103.02,96.0,43732.73,428737.388,1.0933,1.0,16.7951
2026-09-02,95.01,95.33,98.99,94.79,27884.96,267671.036,0.6971,1.0,10.7089
2026-09-03,96.44,94.55,97.36,92.85,22053.95,208413.79,0.5513,1.0,8.4696
2026-09-04,95.6,91.0,96.48,90.0,33650.49,311229.952,0.8412,1.0,12.9231
2026-09-07,91.9,93.15,94.57,91.0,24701.57,229474.758,0.6175,1.0,9.4864
2026-09-08,92.9,91.0,92.9,89.38,23524.1,213195.219,0.5881,1.0,9.0342
2026-09-09,91.2,88.02,92.0,87.17,19168.25,170449.815,0.4792,1.0,7.3614
2026-09-10,86.8,87.24,90.94,85.8,28744.36,254015.412,0.7186,1.0,11.039
2026-09-11,86.02,87.3,91.55,86.0,32029.1,284510.551,0.8007,1.0,12.3004
2026-09-14,86.18,91.42,93.88,85.28,32432.97,293521.735,0.8108,1.0,12.4555
2026-09-15,91.0,91.61,93.96,89.5,31143.55,286713.102,0.7786,1.0,11.9603
2026-09-16,92.0,99.82,102.12,91.7,49619.27,482338.451,1.2405,1.0,19.0557
2026-09-17,99.0,93.9,101.63,93.46,36155.01,348068.776,0.9039,1.0,13.8849
2026-09-18,95.3,96.1,97.37,92.96,32405.6,308832.136,0.8101,1.0,12.445
