date,open,close,high,low,volume,money,turnover,turnover_free,factor
2026-08-28,25.18,28.51,38.5,25.12,173487.46,473606.19511,0.0,0.0,1.0
2026-08-31,22.0,20.05,22.97,20.01,105300.13,223295.63361,0.0,0.0,1.0
2026-09-01,19.13,19.5,20.26,19.1,76343.63,150043.36802,0.0,0.0,1.0
2026-09-02,19.15,20.94,22.89,19.15,100831.59,211593.92856,0.0,0.0,1.0
2026-09-03,20.05,19.36,20.2,19.24,71608.51,141110.32578,0.0,0.0,1.0
2026-09-04,19.36,18.9,19.85,18.77,52351.06,100880.12953,0.0,0.0,1.0
2026-09-07,18.9,18.72,19.2,18.51,30037.52,56373.0005,0.0,0.0,1.0
2026-09-08,18.9,18.39,18.9,18.29,28124.47,51808.53154,0.0,0.0,1.0
2026-09-09,18.3,18.05,18.55,17.76,31922.83,57809.13081,0.0,0.0,1.0
2026-09-10,17.93,17.85,18.44,17.77,21200.88,38329.33184,0.0,0.0,1.0
2026-09-11,17.57,17.56,18.26,17.44,22834.33,40542.15681,0.0,0.0,1.0
2026-09-14,17.53,18.25,18.43,17.38,28042.96,50307.45458,0.0,0.0,1.0
2026-09-15,18.1,17.44,18.15,17.37,25422.92,45043.77294,0.0,0.0,1.0
2026-09-16,17.43,17.39,17.56,17.19,20047.03,34743.41813,0.0,0.0,1.0
