date,open,close,high,low,volume,money,turnover,turnover_free,factor
2026-09-09,30.0,31.99,36.66,30.0,560829.86,1840767.55823,0.0,0.0,1.0
2026-09-10,29.6,31.03,33.82,29.6,394232.91,1254860.18734,0.0,0.0,1.0
2026-09-11,30.55,26.04,30.72,25.83,356255.53,972481.87792,0.0,0.0,1.0
2026-09-14,25.55,26.42,27.49,25.55,255543.83,679899.29759,0.0,0.0,1.0
2026-09-15,26.2,26.53,27.88,25.6,263026.9,702028.48738,0.0,0.0,1.0
2026-09-16,26.55,27.38,28.85,26.55,265534.13,736441.33884,0.0,0.0,1.0
2026-09-17,26.66,28.48,28.75,26.0,285391.88,781174.5835,0.0,0.0,1.0
2026-09-18,28.5,32.11,33.58,27.94,391624.14,1191471.76706,0.0,0.0,1.0
2026-09-21,31.51,31.41,33.38,30.91,298776.69,954342.51685,0.0,0.0,1.0
2026-09-22,31.81,30.81,34.48,30.33,245984.98,778702.0541,0.0,0.0,1.0
