date,open,close,high,low,volume,money,turnover,turnover_free,factor
2026-09-03,30.0,24.23,32.0,24.16,297935.33,803906.87104,0.0,0.0,1.0
2026-09-04,23.15,28.04,30.28,23.0,237931.59,639912.32377,0.0,0.0,1.0
2026-09-07,27.21,26.01,28.0,24.26,185372.18,473347.66886,0.0,0.0,1.0
2026-09-08,25.57,25.0,27.28,24.7,126927.3,327940.2977,0.0,0.0,1.0
2026-09-09,24.12,26.39,27.47,24.01,154563.47,400039.83358,0.0,0.0,1.0
2026-09-10,25.8,25.63,28.19,25.29,129805.65,346632.39903,0.0,0.0,1.0
2026-09-11,25.01,26.55,26.98,24.8,106836.27,277822.48141,0.0,0.0,1.0
2026-09-14,26.5,28.81,30.52,25.81,138907.27,388765.86087,0.0,0.0,1.0
2026-09-15,28.35,27.3,29.12,27.12,117886.67,330439.15671,0.0,0.0,1.0
2026-09-16,26.8,25.91,27.0,25.55,116991.3,305050.18293,0.0,0.0,1.0
2026-09-17,25.52,25.51,26.19,25.18,69127.29,177008.86325,0.0,0.0,1.0
2026-09-18,25.8,27.22,28.09,25.5,134339.2,358462.42394,0.0,0.0,1.0
2026-09-21,26.23,27.7,29.39,26.11,119927.34,333823.0691,0.0,0.0,1.0
2026-09-22,27.8,26.8,27.85,26.75,79877.55,217212.98924,0.0,0.0,1.0
2026-09-23,26.9,28.35,28.64,26.69,89933.16,250657.34769,0.0,0.0,1.0
2026-09-24,28.05,27.4,30.88,27.29,118953.4,346717.99027,0.0,0.0,1.0
