date,open,close,high,low,volume,money,turnover,turnover_free,factor
2026-08-21,28.0,23.19,31.8,23.1,234379.95,637029.85564,0.0,0.0,1.0
2026-08-24,21.21,19.39,21.87,19.13,124092.75,246812.12197,0.0,0.0,1.0
2026-08-25,19.35,19.58,19.99,18.88,70789.06,138062.92839,0.0,0.0,1.0
2026-08-26,19.69,20.07,20.67,19.01,67930.48,134643.98178,0.0,0.0,1.0
2026-08-27,19.81,20.48,20.67,19.4,75517.69,150538.96061,0.0,0.0,1.0
2026-08-28,20.36,21.02,22.58,20.18,88706.75,190559.43603,0.0,0.0,1.0
2026-08-31,20.63,20.5,21.43,20.43,48875.76,101401.41221,0.0,0.0,1.0
2026-09-01,20.3,19.95,20.42,19.81,38369.42,76690.09371,0.0,0.0,1.0
2026-09-02,19.8,20.65,21.49,19.7,64984.02,135251.47659,0.0,0.0,1.0
2026-09-03,20.4,20.2,20.87,20.08,31436.84,64044.55773,0.0,0.0,1.0
2026-09-04,20.23,19.94,20.99,19.78,30226.51,61509.71256,0.0,0.0,1.0
2026-09-07,19.83,19.8,20.2,19.57,25262.91,49915.04024,0.0,0.0,1.0
2026-09-08,19.8,19.69,19.8,19.5,25550.23,50162.48701,0.0,0.0,1.0
2026-09-09,19.61,19.42,19.74,19.32,23059.07,45017.95105,0.0,0.0,1.0
2026-09-10,19.38,19.39,19.8,19.25,17414.43,33979.96822,0.0,0.0,1.0
2026-09-11,19.22,18.83,19.27,18.66,27651.31,52336.35409,0.0,0.0,1.0
2026-09-14,18.66,18.95,19.1,18.58,14547.69,27480.06497,0.0,0.0,1.0
2026-09-15,18.94,18.48,18.95,18.36,14793.16,27612.66312,0.0,0.0,1.0
2026-09-16,18.41,18.48,18.65,18.24,13384.32,24635.00688,0.0,0.0,1.0
2026-09-17,18.42,18.48,18.75,18.39,9779.19,18121.92759,0.0,0.0,1.0
2026-09-18,18.7,19.52,19.84,18.56,38426.05,74103.05973,0.0,0.0,1.0
2026-09-21,19.5,19.63,19.76,19.2,27174.22,52978.12269,0.0,0.0,1.0
2026-09-22,19.61,19.82,20.15,19.33,34926.29,68795.53616,0.0,0.0,1.0
2026-09-23,19.57,19.46,19.92,19.42,21136.42,41548.58806,0.0,0.0,1.0
