date,open,close,high,low,volume,money,factor,turnover,turnover_free
2021-05-10,9.51,9.28,9.51,9.24,46265.85,43101.456,1.0,,0.0
2021-05-11,9.22,9.36,9.44,9.2,36875.19,34485.785,1.0,,0.0
2021-05-12,9.3,9.65,9.74,9.28,87484.22,83944.016,1.0,,0.0
2021-05-13,9.55,9.48,9.64,9.47,57906.98,55296.821,1.0,,0.0
2021-05-14,9.48,9.68,9.85,9.46,80891.88,78033.873,1.0,,0.0
2021-05-17,7.5,7.64,8.14,7.4,159743.53,123548.004,1.0,,0.0
2021-05-18,7.48,7.38,7.5,7.29,139539.98,102793.018,1.0,,0.0
2021-05-19,7.33,7.52,7.7,7.23,152348.56,113458.377,1.0,,0.0
2021-05-20,7.43,7.7,7.77,7.38,164846.73,125448.601,1.0,,0.0
2021-05-21,7.65,7.83,7.98,7.55,230548.57,179453.398,1.0,,0.0
2021-05-24,7.89,7.7,7.89,7.6,153443.47,118224.798,1.0,,0.0
2021-05-25,7.6,7.6,7.66,7.53,111184.09,84396.014,1.0,,0.0
2021-05-26,7.57,7.6,7.64,7.51,81522.32,61809.11,1.0,,0.0
2021-05-27,7.55,7.5,7.59,7.5,85229.73,64204.573,1.0,,0.0
2021-05-28,7.51,7.42,7.54,7.37,83404.45,62068.65,1.0,,0.0
2021-05-31,7.4,7.48,7.49,7.34,64004.78,47482.744,1.0,,0.0
2021-06-01,7.45,7.51,7.54,7.41,66451.15,49804.169,1.0,,0.0
2021-06-02,7.52,7.39,7.56,7.37,80255.78,59789.857,1.0,,0.0
2021-06-03,7.37,7.31,7.43,7.31,56177.63,41375.447,1.0,,0.0
2021-06-04,7.33,7.32,7.4,7.3,45878.69,33689.625,1.0,,0.0
2021-06-07,7.32,7.37,7.38,7.3,42035.45,30867.03,1.0,,0.0
2021-06-08,7.38,7.37,7.42,7.34,45928.79,33860.072,1.0,,0.0
2021-06-09,7.4,7.6,7.64,7.31,143127.89,107492.746,1.0,,0.0
2021-06-10,7.61,7.51,7.61,7.47,92214.25,69230.877,1.0,,0.0
2021-06-11,7.49,7.39,7.58,7.38,67086.63,49973.815,1.0,,0.0
2021-06-15,7.38,7.17,7.38,7.15,76294.96,55125.279,1.0,,0.0
2021-06-16,7.16,7.2,7.25,7.12,37666.84,27113.003,1.0,,0.0
2021-06-17,7.2,7.15,7.23,7.14,38458.93,27599.403,1.0,,0.0
2021-06-18,7.14,7.15,7.17,7.03,52802.24,37391.057,1.0,,0.0
2021-06-21,7.14,7.17,7.23,7.09,34941.19,25051.088,1.0,,0.0
2021-06-22,7.18,7.27,7.32,7.17,62182.41,45130.225,1.0,,0.0
2021-06-23,7.22,7.25,7.27,7.16,55821.26,40292.298,1.0,,0.0
2021-06-24,7.27,7.27,7.31,7.17,60946.6,44148.504,1.0,,0.0
2021-06-25,7.27,7.25,7.31,7.2,50472.12,36617.083,1.0,,0.0
2021-06-28,7.23,7.34,7.38,7.21,70209.73,51395.602,1.0,,0.0
2021-06-29,7.3,7.24,7.41,7.2,50585.5,36923.994,1.0,,0.0
2021-06-30,7.2,7.16,7.27,7.13,52850.87,37870.157,1.0,,0.0
2021-07-01,7.27,7.1,7.34,7.1,52836.8,38049.657,1.0,,0.0
2021-07-02,6.98,7.08,7.21,6.97,48461.55,34362.145,1.0,,0.0
2021-07-05,7.08,7.1,7.14,7.04,30698.26,21750.793,1.0,,0.0
2021-07-06,7.1,7.13,7.2,7.0,47344.71,33504.57,1.0,,0.0
2021-07-07,7.1,7.07,7.13,7.05,36048.71,25506.423,1.0,,0.0
2021-07-08,6.82,6.68,6.91,6.67,117094.71,78875.432,1.0,,0.0
2021-07-09,6.68,6.6,6.68,6.48,69062.96,45358.365,1.0,,0.0
2021-07-12,6.69,6.74,6.82,6.62,57530.41,38743.566,1.0,,0.0
2021-07-13,6.72,6.73,6.77,6.64,34300.14,23005.733,1.0,,0.0
2021-07-14,6.73,6.64,6.75,6.62,36805.93,24572.302,1.0,,0.0
2021-07-15,6.63,6.48,6.68,6.44,56557.82,36728.006,1.0,,0.0
2021-07-16,6.46,6.47,6.5,6.44,28011.65,18083.328,1.0,,0.0
2021-07-19,6.48,6.51,6.54,6.33,62916.9,40437.662,1.0,,0.0
