date,open,close,high,low,volume,money,turnover,factor,turnover_free
2026-08-18,1100.0,1152.0,1300.0,1100.0,61873.93,7272152.465,0.0,1.0,0.0
2026-08-19,1000.25,942.03,1079.0,940.0,36687.82,3665181.939,0.0,1.0,0.0
2026-08-20,935.0,946.92,993.0,870.0,20892.27,1956527.439,5.2231,1.0,27.4257
2026-08-21,920.01,947.45,995.46,885.0,15792.52,1494535.045,3.9481,1.0,20.7312
2026-08-24,925.0,979.0,990.0,888.01,16423.89,1524336.02,4.106,1.0,21.56
2026-08-25,957.0,960.0,1008.98,950.95,14462.31,1412968.863,3.6156,1.0,18.985
2026-08-26,956.95,1024.49,1075.0,942.59,21402.95,2166294.958,5.3507,1.0,28.0961
2026-08-27,1015.0,1016.21,1030.0,987.77,14689.69,1476595.794,3.6724,1.0,19.2835
2026-08-28,1000.1,900.89,1017.1,900.0,19129.46,1810602.209,4.7824,1.0,25.1117
2026-08-31,865.03,849.2,869.0,820.0,15770.78,1328467.431,3.9427,1.0,20.7026
2026-09-01,833.0,814.35,849.59,812.82,10189.38,841501.414,2.5473,1.0,13.3758
2026-09-02,790.0,784.01,812.0,778.18,10672.15,843238.709,2.668,1.0,14.0096
2026-09-03,790.8,794.4,806.0,781.12,9127.18,723306.419,2.2818,1.0,11.9814
2026-09-04,799.0,771.9,811.0,751.87,10351.16,805788.846,2.5878,1.0,13.5882
2026-09-07,772.0,775.1,794.0,772.0,6863.74,538018.796,1.7159,1.0,9.0102
2026-09-08,768.99,800.0,826.9,760.13,11174.34,894941.333,2.7936,1.0,14.6688
2026-09-09,792.01,776.02,811.68,761.1,6915.58,544376.258,1.7289,1.0,9.0782
2026-09-10,762.3,759.99,774.84,745.5,5570.41,422735.216,1.3926,1.0,7.3124
2026-09-11,754.5,756.11,757.95,722.22,6348.57,471721.843,1.5871,1.0,8.3339
2026-09-14,743.34,764.49,788.0,720.01,6015.91,459243.673,1.504,1.0,7.8972
2026-09-15,759.0,785.27,813.88,759.0,9056.72,723865.649,2.2642,1.0,11.889
2026-09-16,780.16,807.5,846.0,773.0,9969.14,805449.266,2.4923,1.0,13.0867
2026-09-17,795.02,782.0,806.0,775.0,7369.23,579806.295,1.8423,1.0,9.6737
2026-09-18,795.38,850.51,879.88,791.0,17870.03,1494719.782,4.4675,1.0,23.4584
