date,open,close,high,low,volume,money,turnover,turnover_free,factor
2026-09-09,32.86,26.88,33.1,26.66,94898.04,270402.18202,0.0,0.0,1.0
2026-09-10,27.6,34.94,34.94,27.23,82496.46,261700.7449,0.0,0.0,1.0
2026-09-11,35.5,41.5,44.98,33.33,101978.96,392724.48071,0.0,0.0,1.0
2026-09-14,36.4,34.5,37.67,32.55,76291.77,266780.12664,0.0,0.0,1.0
2026-09-15,33.4,31.48,34.64,31.36,68524.43,223894.35515,0.0,0.0,1.0
2026-09-16,31.29,31.7,32.88,30.5,59662.65,187621.20561,0.0,0.0,1.0
2026-09-17,30.61,30.02,31.22,29.82,46370.79,140854.69349,0.0,0.0,1.0
2026-09-18,30.44,34.99,35.18,30.16,82143.27,267098.23602,0.0,0.0,1.0
2026-09-21,32.82,33.46,35.15,32.2,62333.65,208845.88741,0.0,0.0,1.0
2026-09-22,32.86,32.43,35.0,32.4,56617.64,189162.42694,0.0,0.0,1.0
2026-09-23,33.26,36.19,38.88,32.68,78614.11,281787.87808,0.0,0.0,1.0
