date,open,close,high,low,volume,money,turnover,factor,turnover_free
2026-08-17,29.24,30.05,36.28,29.01,182553.11,567929.12903,0.0,1.0,0.0
2026-08-18,26.0,24.07,27.0,24.05,117223.6,292350.72634,0.0,1.0,0.0
2026-08-19,23.07,22.14,23.53,22.1,66180.12,149510.20263,0.0,1.0,0.0
2026-08-20,21.8,21.61,22.38,21.47,37340.54,81310.30008,4.4517,1.0,19.7852
2026-08-21,21.66,21.25,21.78,20.93,23107.9,49139.86774,2.7549,1.0,12.2439
2026-08-24,21.22,20.7,21.39,20.36,28762.45,59618.82561,3.429,1.0,15.24
2026-08-25,20.6,21.01,21.39,20.6,23147.73,48840.20791,2.7596,1.0,12.265
2026-08-26,20.9,20.91,21.35,20.8,18490.78,38854.89546,2.2044,1.0,9.7975
2026-08-27,20.83,20.93,21.0,20.59,21318.71,44352.95819,2.5416,1.0,11.2959
2026-08-28,20.93,21.07,21.45,20.86,23012.81,48753.12663,2.7435,1.0,12.1935
2026-08-31,20.89,20.81,20.9,20.59,18214.84,37763.74102,2.1715,1.0,9.6513
2026-09-01,20.73,20.96,21.18,20.63,16810.93,35008.66962,2.0042,1.0,8.9074
2026-09-02,20.78,21.67,22.18,20.73,42750.83,92644.5388,5.0967,1.0,22.6518
2026-09-03,21.4,20.88,21.45,20.85,24486.05,51630.596,2.9192,1.0,12.9741
2026-09-04,20.93,20.65,21.29,20.59,17696.57,37015.28289,2.1097,1.0,9.3767
2026-09-07,20.65,20.52,20.77,20.44,10936.57,22454.00302,1.3038,1.0,5.7948
2026-09-08,20.62,20.52,20.68,20.38,9779.28,20026.25283,1.1659,1.0,5.1816
2026-09-09,20.58,19.99,20.59,19.91,17716.85,35862.37517,2.1122,1.0,9.3874
2026-09-10,19.99,19.78,20.23,19.7,10566.97,21031.99604,1.2598,1.0,5.599
2026-09-11,19.7,19.27,19.7,19.16,11236.39,21735.23953,1.3396,1.0,5.9537
2026-09-14,19.27,19.53,19.69,19.09,8494.16,16538.17355,1.0127,1.0,4.5007
2026-09-15,19.53,19.25,19.72,19.22,7475.6,14542.39572,0.8912,1.0,3.961
2026-09-16,19.17,19.28,19.36,19.02,6311.03,12120.0389,0.7524,1.0,3.3439
2026-09-17,19.31,19.22,19.42,19.03,5484.18,10566.69244,0.6538,1.0,2.9058
2026-09-18,19.4,19.96,20.15,19.23,20338.96,40292.14658,2.4248,1.0,10.7767
2026-09-21,19.87,19.99,20.15,19.63,12802.44,25498.90324,1.5263,1.0,6.7835
