date,open,close,high,low,volume,money,turnover,factor,turnover_free
2026-08-12,53.0,53.26,59.54,52.5,285357.72,1570377.48422,82.4406,1.0,0.0
2026-08-13,51.01,46.59,52.0,46.04,182371.26,883910.49265,0.0,1.0,0.0
2026-08-14,46.06,45.24,47.5,44.66,99561.43,455951.94233,0.0,1.0,0.0
2026-08-17,44.4,45.6,46.02,43.66,80395.19,362221.32732,0.0,1.0,0.0
2026-08-18,44.8,44.89,46.38,44.6,60115.76,271817.36527,0.0,1.0,0.0
2026-08-19,44.0,40.03,44.0,39.89,78054.13,326951.29911,0.0,1.0,0.0
2026-08-20,40.45,39.07,40.45,38.67,40484.62,158754.89718,0.9351,1.0,11.6961
2026-08-21,39.0,39.54,41.5,38.88,41093.9,164650.8236,0.9491,1.0,11.8721
2026-08-24,40.05,37.75,40.05,37.3,38966.81,148621.52732,0.9,1.0,11.2576
2026-08-25,37.15,37.87,38.44,37.13,27040.5,102827.34549,0.6246,1.0,7.8121
2026-08-26,37.88,38.4,39.52,37.32,37524.48,143722.7512,0.8667,1.0,10.8409
2026-08-27,38.39,38.71,38.9,37.57,40458.27,155186.71503,0.9345,1.0,11.6885
2026-08-28,38.35,36.71,38.59,36.68,63546.64,238135.37939,1.4677,1.0,18.3588
2026-08-31,36.0,37.34,37.45,35.9,34248.11,126725.85795,0.791,1.0,9.8944
2026-09-01,37.0,36.19,37.12,35.99,35344.55,128281.98286,0.8164,1.0,10.2111
2026-09-02,36.0,36.78,37.89,35.96,60202.77,223628.76018,1.3905,1.0,17.3927
2026-09-03,36.33,37.54,38.34,36.03,54677.47,202841.74145,1.2629,1.0,15.7965
2026-09-04,37.43,36.25,37.68,36.15,35190.36,129638.30798,0.8128,1.0,10.1666
2026-09-07,36.46,34.36,36.57,34.23,64741.65,226384.19807,1.4953,1.0,18.704
2026-09-08,34.03,33.72,34.25,33.66,28981.63,98261.25727,0.6694,1.0,8.3729
2026-09-09,33.85,32.62,33.88,32.52,31147.41,103075.29674,0.7194,1.0,8.9986
2026-09-10,32.65,32.71,34.1,32.65,35902.46,119813.10548,0.8292,1.0,10.3723
2026-09-11,32.0,31.11,32.42,31.11,36639.88,115301.61676,0.8463,1.0,10.5854
2026-09-14,31.0,31.85,32.35,30.89,25505.21,80934.16425,0.5891,1.0,7.3685
2026-09-15,31.4,31.85,32.68,31.25,21308.72,68477.36145,0.4922,1.0,6.1561
2026-09-16,31.85,32.8,32.86,31.41,27761.0,89843.49622,0.6412,1.0,8.0202
2026-09-17,32.5,32.38,32.8,32.01,16958.33,54872.969,0.3917,1.0,4.8993
2026-09-18,32.9,35.29,35.65,32.57,73234.59,252641.32746,1.6915,1.0,21.1577
2026-09-21,34.8,35.37,35.6,34.41,44856.52,157628.46655,1.0361,1.0,12.9592
