date,open,close,high,low,volume,money,factor,turnover,turnover_free
2021-05-10,132.01,138.87,140.1,131.06,12250.35,167314.53,1.0,,0.0
2021-05-11,137.87,137.5,139.18,135.5,5905.87,80854.836,1.0,,0.0
2021-05-12,137.09,137.65,137.98,134.2,5740.8,78109.302,1.0,,0.0
2021-05-13,135.8,136.82,139.47,135.01,3993.4,54906.441,1.0,,0.0
2021-05-14,137.01,137.1,138.19,135.5,5528.59,75619.829,1.0,,0.0
2021-05-17,137.38,137.08,141.45,137.01,9364.98,130109.886,1.0,,0.0
2021-05-18,136.69,126.83,137.0,121.86,31220.04,398357.186,1.0,,0.0
2021-05-19,125.2,128.7,132.0,124.0,11558.68,147942.16,1.0,,0.0
2021-05-20,127.68,125.72,129.48,125.06,9867.77,124416.613,1.0,,0.0
2021-05-21,125.89,123.79,126.88,121.98,9429.05,117415.199,1.0,,0.0
2021-05-24,123.0,125.78,126.45,122.0,7933.03,99028.63,1.0,,0.0
2021-05-25,125.79,131.65,132.51,125.29,12329.94,161013.136,1.0,,0.0
2021-05-26,130.92,130.18,134.64,129.0,11197.41,147087.245,1.0,,0.0
2021-05-27,130.68,133.77,136.0,129.61,13569.95,181393.339,1.0,,0.0
2021-05-28,133.23,130.98,135.8,130.78,8561.0,113502.964,1.0,,0.0
2021-05-31,132.0,133.65,135.93,131.06,8404.54,112635.958,1.0,,0.0
2021-06-01,133.65,135.7,138.3,132.46,14730.97,201362.903,1.0,,0.0
2021-06-02,135.38,132.45,137.49,132.0,10904.41,146465.639,1.0,,0.0
2021-06-03,131.97,137.0,137.38,128.51,20282.16,271328.631,1.0,,0.0
2021-06-04,135.1,153.35,154.97,134.51,41688.11,619983.994,1.0,,0.0
2021-06-07,154.59,159.18,160.51,153.35,27971.33,442742.003,1.0,,0.0
2021-06-08,160.02,154.9,160.02,153.16,12670.16,196773.504,1.0,,0.0
2021-06-09,154.39,152.7,156.2,150.96,9506.45,145897.805,1.0,,0.0
2021-06-10,155.98,168.0,168.52,155.0,32774.14,538915.55,1.0,,0.0
2021-06-11,166.48,164.75,172.91,162.08,15239.37,253574.23,1.0,,0.0
2021-06-15,164.5,164.87,172.0,162.21,15723.95,262276.19,1.0,,0.0
