date,open,close,high,low,volume,money,turnover,factor,turnover_free
2026-08-19,1100.0,845.0,1100.0,800.08,256579.35,23159535.334,0.0,1.0,0.0
2026-08-20,790.0,687.0,790.0,685.01,126294.74,9071869.08,3.1225,1.0,41.9755
2026-08-21,659.0,672.41,706.98,636.0,76057.34,5138831.982,1.8804,1.0,25.2785
2026-08-24,640.26,603.08,642.0,602.05,81289.49,5015549.853,2.0098,1.0,27.0175
2026-08-25,588.0,602.8,625.89,588.0,53215.25,3244776.858,1.3157,1.0,17.6867
2026-08-26,598.0,591.53,614.44,571.0,55829.61,3324850.833,1.3803,1.0,18.5556
2026-08-27,588.0,615.03,615.05,582.0,63397.83,3795447.912,1.5675,1.0,21.071
2026-08-28,605.0,585.0,605.0,584.88,56747.97,3362608.198,1.403,1.0,18.8608
2026-08-31,571.0,564.9,571.3,555.8,47188.4,2650001.39,1.1667,1.0,15.6836
2026-09-01,561.97,571.1,591.0,556.12,51510.92,2976706.754,1.2736,1.0,17.1202
2026-09-02,557.0,546.02,562.84,545.0,41459.15,2277873.469,1.025,1.0,13.7794
2026-09-03,550.0,550.45,565.5,545.02,30911.28,1715526.755,0.7643,1.0,10.2737
2026-09-04,555.0,530.3,557.88,528.85,38180.06,2074709.047,0.944,1.0,12.6896
2026-09-07,530.3,536.35,542.66,520.08,35380.63,1888163.976,0.8748,1.0,11.7592
2026-09-08,535.8,523.68,539.91,522.8,33469.43,1775510.459,0.8275,1.0,11.124
2026-09-09,521.08,513.93,524.99,508.88,32173.61,1655846.761,0.7955,1.0,10.6933
2026-09-10,508.0,498.55,508.0,497.88,28146.83,1410273.255,0.6959,1.0,9.3549
2026-09-11,490.25,477.12,497.87,473.13,36273.2,1745983.339,0.8968,1.0,12.0558
2026-09-14,468.81,470.0,479.41,465.58,21050.15,990801.427,0.5204,1.0,6.9963
2026-09-15,475.0,469.8,483.0,469.01,25268.6,1199793.431,0.6247,1.0,8.3983
2026-09-16,468.0,474.28,477.78,458.02,27174.34,1275003.494,0.6719,1.0,9.0317
