date,open,close,high,low,volume,money,factor,turnover,turnover_free
2023-08-08,12.94,11.41,13.24,11.41,55000.1,68070.276,1.0,,0.0
2023-08-09,11.01,12.12,12.57,10.9,46161.83,53835.873,1.0,,0.0
2023-08-10,11.9,11.89,12.99,11.7,31560.99,38839.63,1.0,,0.0
2023-08-11,11.22,11.0,11.35,10.93,26590.82,29532.131,1.0,,0.0
2023-08-14,10.9,10.72,10.93,10.66,13212.61,14204.359,1.0,,0.0
2023-08-15,10.86,10.42,10.86,10.4,8524.09,9030.326,1.0,,0.0
2023-08-16,10.54,10.34,10.55,10.33,6629.29,6925.592,1.0,,0.0
2023-08-17,10.37,10.05,10.37,9.95,8575.07,8650.673,1.0,,0.0
2023-08-18,10.08,10.11,10.46,10.02,7148.07,7332.354,1.0,,0.0
2023-08-21,10.15,10.14,10.3,10.06,4591.96,4665.228,1.0,,0.0
2023-08-22,10.28,10.03,10.29,9.99,3651.38,3673.443,1.0,,0.0
2023-08-23,10.05,9.74,10.05,9.73,4012.75,3969.996,1.0,,0.0
2023-08-24,9.8,9.8,9.99,9.68,2624.64,2576.649,1.0,,0.0
2023-08-25,9.75,9.5,9.8,9.43,3091.99,2958.939,1.0,,0.0
2023-08-28,9.94,9.52,9.99,9.5,3318.7,3229.762,1.0,,0.0
2023-08-29,9.61,9.84,9.9,9.6,1972.91,1929.502,1.0,,0.0
2023-08-30,9.83,9.85,9.96,9.73,1953.16,1929.088,1.0,,0.0
2023-08-31,9.98,10.06,10.18,9.86,3436.29,3444.476,1.0,,0.0
2023-09-01,10.03,10.24,10.49,9.86,7677.72,7888.283,1.0,,0.0
2023-09-04,10.6,10.58,10.9,10.5,12132.95,12907.54,1.0,,0.0
2023-09-05,10.4,10.15,10.55,10.11,5446.35,5594.713,1.0,,0.0
2023-09-06,10.08,10.1,10.18,10.04,2925.94,2953.189,1.0,,0.0
2023-09-07,10.18,9.96,10.18,9.91,3942.78,3945.962,1.0,,0.0
2023-09-08,9.92,9.91,10.03,9.88,1331.81,1321.295,1.0,,0.0
2023-09-11,9.91,9.99,10.04,9.88,1095.75,1090.521,1.0,,0.0
2023-09-12,9.85,9.88,9.97,9.85,2050.57,2029.213,1.0,,0.0
2023-09-13,9.84,9.88,9.92,9.8,1220.5,1200.727,1.0,,0.0
2023-09-14,9.9,9.89,9.92,9.79,1205.38,1187.647,1.0,,0.0
2023-09-15,9.85,9.94,9.95,9.85,930.16,919.853,1.0,,0.0
2023-09-18,10.07,9.91,10.07,9.8,1158.34,1141.62,1.0,,0.0
2023-09-19,9.91,9.89,9.91,9.83,411.64,406.084,1.0,,0.0
2023-09-20,9.9,9.85,9.91,9.76,950.4,933.833,1.0,,0.0
2023-09-21,9.84,9.85,9.85,9.75,330.02,322.981,1.0,,0.0
2023-09-22,9.85,9.9,9.9,9.74,875.67,861.982,1.0,,0.0
2023-09-25,9.89,9.8,9.91,9.79,488.6,480.656,1.0,,0.0
2023-09-26,9.81,9.79,9.86,9.74,687.24,671.611,1.0,,0.0
2023-09-27,9.79,9.83,9.9,9.79,747.07,734.223,1.0,,0.0
2023-09-28,9.77,9.85,9.88,9.77,395.52,388.878,1.0,,0.0
2023-10-09,9.91,9.85,9.92,9.82,357.11,352.128,1.0,,0.0
2023-10-10,9.8,9.78,9.87,9.77,1461.08,1431.93,1.0,,0.0
2023-10-11,9.78,9.83,9.86,9.78,1051.38,1030.274,1.0,,0.0
2023-10-12,9.85,9.84,9.85,9.77,429.14,420.567,1.0,,0.0
2023-10-13,9.79,9.68,9.84,9.62,714.82,695.036,1.0,,0.0
2023-10-16,9.83,9.58,9.83,9.58,548.93,528.101,1.0,,0.0
2023-10-17,9.5,9.49,9.57,9.44,704.6,668.615,1.0,,0.0
2023-10-18,9.49,9.29,9.49,9.28,994.51,928.521,1.0,,0.0
2023-10-19,9.25,9.27,9.31,9.24,244.12,226.371,1.0,,0.0
2023-10-20,9.23,9.3,9.36,9.23,259.64,242.096,1.0,,0.0
2023-10-23,9.4,9.13,9.4,9.13,349.93,321.236,1.0,,0.0
2023-10-24,9.13,9.26,9.29,9.11,367.27,336.836,1.0,,0.0
2023-10-25,9.14,9.26,9.29,9.14,319.5,294.634,1.0,,0.0
2023-10-26,9.2,9.22,9.25,9.14,349.86,321.372,1.0,,0.0
2023-10-27,9.25,9.68,9.87,9.22,1925.67,1842.39,1.0,,0.0
2023-10-30,9.67,9.55,9.78,9.5,1679.11,1611.534,1.0,,0.0
2023-10-31,9.51,9.49,9.56,9.4,1111.28,1050.942,1.0,,0.0
2023-11-01,9.45,9.52,9.52,9.44,551.2,522.233,1.0,,0.0
2023-11-02,9.41,9.52,9.55,9.41,501.82,475.704,1.0,,0.0
2023-11-03,9.54,9.59,9.65,9.52,437.9,420.422,1.0,,0.0
2023-11-06,9.65,9.67,9.69,9.59,955.71,921.798,1.0,,0.0
2023-11-07,9.61,9.66,9.67,9.56,907.91,871.173,1.0,,0.0
2023-11-08,9.69,9.85,9.94,9.66,2867.76,2823.685,1.0,,0.0
2023-11-09,9.86,9.88,9.89,9.75,1079.8,1060.273,1.0,,0.0
2023-11-10,9.87,9.85,9.9,9.79,707.66,698.116,1.0,,0.0
2023-11-13,9.85,9.87,9.91,9.8,604.88,595.587,1.0,,0.0
2023-11-14,9.88,10.19,10.3,9.82,4670.06,4715.693,1.0,,0.0
2023-11-15,10.28,10.19,10.43,10.12,5222.49,5360.151,1.0,,0.0
2023-11-16,10.1,10.05,10.2,10.01,2162.6,2181.59,1.0,,0.0
2023-11-17,10.08,10.25,10.26,10.05,1453.85,1480.416,1.0,,0.0
2023-11-20,10.3,10.6,10.66,10.15,6057.05,6353.014,1.0,,0.0
2023-11-21,10.63,11.11,12.09,10.6,22371.94,25527.162,1.0,,0.0
