date,open,close,high,low,volume,money,turnover,turnover_free,factor
2026-09-02,59.0,53.82,72.0,52.66,202103.03,1205493.19897,0.0,0.0,1.0
2026-09-03,47.02,44.66,49.0,44.45,148431.55,690136.77993,0.0,0.0,1.0
2026-09-04,42.9,41.19,43.88,41.01,112498.72,477889.53549,0.0,0.0,1.0
2026-09-07,40.9,40.12,41.5,39.81,73758.76,297667.09326,0.0,0.0,1.0
2026-09-08,40.08,41.21,42.58,39.01,102330.23,414754.80264,0.0,0.0,1.0
2026-09-09,39.82,38.89,40.35,38.88,75387.85,297776.87379,0.0,0.0,1.0
2026-09-10,38.5,36.92,38.68,36.76,61346.83,229659.58751,0.0,0.0,1.0
2026-09-11,36.7,35.47,36.95,35.0,47935.04,170841.65634,0.0,0.0,1.0
2026-09-14,35.0,36.34,37.23,35.0,49255.7,178770.33528,0.0,0.0,1.0
2026-09-15,36.18,35.79,37.17,35.73,40254.26,145725.07628,0.0,0.0,1.0
2026-09-16,35.46,35.71,36.29,35.32,30364.26,108632.5892,0.0,0.0,1.0
2026-09-17,35.48,36.3,36.58,35.11,41913.89,150653.86401,0.0,0.0,1.0
