date,open,close,high,low,volume,money,turnover,turnover_free,factor
2026-09-04,35.0,37.5,42.99,35.0,139434.97,521468.53312,0.0,0.0,1.0
2026-09-07,30.0,28.24,31.76,28.2,85408.87,248571.2279,0.0,0.0,1.0
2026-09-08,27.88,26.95,28.24,26.78,53522.12,146007.03511,0.0,0.0,1.0
2026-09-09,27.08,26.3,27.37,26.12,36198.57,96627.35453,0.0,0.0,1.0
2026-09-10,26.28,26.55,27.49,26.28,35991.56,96822.5094,0.0,0.0,1.0
2026-09-11,26.22,26.55,27.23,25.36,29863.2,78757.4087,0.0,0.0,1.0
2026-09-14,26.78,27.47,28.05,25.0,41169.63,111084.61438,0.0,0.0,1.0
2026-09-15,27.0,25.86,27.66,25.76,34913.75,92908.41281,0.0,0.0,1.0
2026-09-16,25.78,25.69,26.18,25.2,25132.61,64536.13885,0.0,0.0,1.0
2026-09-17,25.9,26.0,26.72,25.3,27086.86,70500.98825,0.0,0.0,1.0
2026-09-18,26.66,29.98,32.87,26.01,69299.11,198160.92498,0.0,0.0,1.0
2026-09-21,28.95,29.89,30.58,28.65,61493.15,182034.19315,0.0,0.0,1.0
2026-09-22,29.63,28.38,29.85,28.27,47236.47,136432.22163,0.0,0.0,1.0
2026-09-23,28.6,28.21,29.2,28.08,30348.1,86646.2052,0.0,0.0,1.0
2026-09-24,27.82,27.5,28.87,27.23,30096.85,84767.00509,0.0,0.0,1.0
