date,open,close,high,low,volume,money,factor
2026-06-18,0.2,0.2,0.25,0.18,870826.31,17554.08786,1.0
2026-06-22,0.18,0.18,0.19,0.16,389110.59,6804.88103,1.0
2026-06-24,0.17,0.15,0.17,0.15,222994.0,3587.53899,1.0
2026-06-25,0.15,0.15,0.16,0.14,174426.0,2615.163,1.0
2026-06-26,0.15,0.15,0.16,0.14,74673.0,1112.599,1.0
2026-06-29,0.15,0.15,0.15,0.14,85295.62,1219.41468,1.0
2026-06-30,0.14,0.15,0.16,0.14,143588.64,2149.37958,1.0
2026-07-01,0.15,0.15,0.16,0.15,162955.7,2448.5425,1.0
2026-07-03,0.16,0.15,0.16,0.14,190757.0,2909.054,1.0
2026-07-06,0.15,0.14,0.15,0.13,192770.29,2720.53506,1.0
2026-07-07,0.14,0.13,0.14,0.12,145451.3,1915.1089,1.0
2026-07-08,0.13,0.14,0.14,0.12,192969.0,2538.625,1.0
2026-07-09,0.13,0.12,0.14,0.12,205943.0,2658.65709,1.0
