date,open,close,high,low,volume,money,factor
2026-06-08,1.09,0.19,1.09,0.15,987964.0,19376.557,1.0
2026-06-09,0.18,0.17,0.19,0.17,346566.0,5984.507,1.0
2026-06-10,0.16,0.15,0.17,0.15,659898.45,10126.398,1.0
2026-06-11,0.16,0.16,0.16,0.15,225094.43,3549.699,1.0
2026-06-12,0.16,0.16,0.17,0.16,195348.72,3156.649,1.0
2026-06-15,0.16,0.16,0.17,0.15,330573.0,5320.904,1.0
2026-06-16,0.15,0.16,0.16,0.15,134703.17,2085.002,1.0
2026-06-17,0.16,0.16,0.16,0.15,80780.33,1252.273,1.0
2026-06-18,0.15,0.15,0.16,0.15,100580.47,1534.853,1.0
2026-06-22,0.16,0.15,0.16,0.14,161751.17,2412.703,1.0
2026-06-24,0.15,0.15,0.16,0.14,163520.51,2428.017,1.0
2026-06-25,0.15,0.15,0.15,0.14,153543.14,2261.853,1.0
2026-06-26,0.15,0.16,0.16,0.14,208688.0,3155.034,1.0
2026-06-29,0.16,0.16,0.16,0.14,228871.45,3485.348,1.0
