date,open,close,high,low,volume,money,factor
2026-06-01,0.66,0.55,0.86,0.42,280825.33,17741.218,1.0
2026-06-02,0.58,0.61,0.61,0.57,31568.47,1889.172,1.0
2026-06-03,0.67,0.63,0.67,0.6,80181.02,5239.744,1.0
2026-06-04,0.63,0.69,0.69,0.59,43182.13,2835.78,1.0
2026-06-05,0.72,0.68,0.76,0.68,52696.54,3853.443,1.0
2026-06-08,0.7,0.72,0.75,0.68,49665.0,3603.16,1.0
2026-06-09,0.7,0.65,0.74,0.65,32585.67,2203.857,1.0
2026-06-10,0.65,0.59,0.66,0.59,30081.34,1798.184,1.0
2026-06-11,0.58,0.59,0.65,0.55,19000.83,1144.537,1.0
2026-06-12,0.59,0.6,0.63,0.59,13603.58,828.555,1.0
2026-06-15,0.61,0.66,0.66,0.61,28343.51,1808.012,1.0
2026-06-16,0.66,0.73,0.73,0.66,20184.41,1438.395,1.0
2026-06-17,0.74,0.76,0.8,0.69,33248.79,2559.944,1.0
2026-06-18,0.76,0.76,0.79,0.73,30062.14,2304.1,1.0
2026-06-22,0.76,0.74,0.77,0.72,30056.05,2226.112,1.0
