date,open,close,high,low,volume,money,factor
2026-06-23,0.27,0.31,0.44,0.26,251733.55,7393.89864,1.0
2026-06-24,0.29,0.28,0.3,0.28,43237.0,1223.371,1.0
2026-06-25,0.25,0.26,0.27,0.25,127798.43,3216.44894,1.0
2026-06-26,0.26,0.28,0.28,0.25,113589.3,2971.5981,1.0
2026-06-29,0.28,0.31,0.31,0.27,93218.0,2794.103,1.0
2026-06-30,0.3,0.34,0.34,0.3,24545.1,815.8004,1.0
2026-07-01,0.37,0.37,0.37,0.33,115105.19,4161.90703,1.0
2026-07-02,0.36,0.41,0.41,0.36,94991.42,3823.9288,1.0
2026-07-03,0.4,0.45,0.45,0.37,62673.34,2673.07593,1.0
2026-07-06,0.45,0.41,0.5,0.41,69960.73,3103.58811,1.0
2026-07-07,0.41,0.4,0.44,0.37,77413.23,3102.42623,1.0
2026-07-08,0.39,0.38,0.41,0.36,46985.7,1799.7044,1.0
2026-07-09,0.39,0.42,0.42,0.39,53756.04,2241.67923,1.0
2026-07-10,0.45,0.46,0.46,0.45,36305.89,1667.18694,1.0
2026-07-13,0.51,0.51,0.51,0.51,34886.17,1779.19467,1.0
