date,open,close,high,low,volume,money,factor
2026-06-01,2.04,0.39,2.04,0.35,503434.16,19861.095,1.0
2026-06-02,0.38,0.35,0.38,0.35,307968.0,11161.741,1.0
2026-06-03,0.34,0.34,0.35,0.32,250513.97,8377.813,1.0
2026-06-04,0.34,0.33,0.34,0.32,133338.01,4424.507,1.0
2026-06-05,0.33,0.36,0.36,0.32,195542.78,6786.388,1.0
2026-06-08,0.34,0.33,0.35,0.32,129204.0,4317.389,1.0
2026-06-09,0.33,0.3,0.34,0.3,154518.0,4777.248,1.0
2026-06-10,0.29,0.27,0.29,0.27,142580.09,3892.988,1.0
2026-06-11,0.27,0.27,0.28,0.26,44947.0,1213.985,1.0
2026-06-12,0.27,0.26,0.28,0.26,67347.03,1795.482,1.0
2026-06-15,0.27,0.27,0.28,0.26,50384.3,1355.627,1.0
2026-06-16,0.27,0.27,0.28,0.26,49500.51,1334.342,1.0
2026-06-17,0.26,0.26,0.27,0.26,64321.62,1717.444,1.0
2026-06-18,0.26,0.27,0.27,0.25,70533.18,1852.861,1.0
2026-06-22,0.27,0.24,0.27,0.24,152231.0,3757.247,1.0
