date,open,close,high,low,volume,money,factor
2026-06-01,1.98,0.57,1.98,0.48,246030.85,13716.042,1.0
2026-06-02,0.56,0.51,0.58,0.51,132729.07,7057.863,1.0
2026-06-03,0.5,0.5,0.52,0.48,84081.4,4148.151,1.0
2026-06-04,0.49,0.48,0.51,0.46,65947.87,3213.665,1.0
2026-06-05,0.49,0.5,0.51,0.48,64414.2,3192.336,1.0
2026-06-08,0.49,0.47,0.49,0.46,65329.0,3119.173,1.0
2026-06-09,0.47,0.43,0.48,0.43,60985.06,2786.606,1.0
2026-06-10,0.43,0.4,0.43,0.39,59972.05,2410.21,1.0
2026-06-11,0.39,0.41,0.42,0.38,43721.05,1751.009,1.0
2026-06-12,0.41,0.41,0.42,0.4,24275.02,986.742,1.0
2026-06-15,0.41,0.41,0.42,0.4,31054.0,1278.97,1.0
2026-06-16,0.4,0.4,0.41,0.39,29789.01,1192.695,1.0
2026-06-17,0.4,0.4,0.41,0.39,16446.01,656.274,1.0
2026-06-18,0.4,0.42,0.43,0.39,39611.52,1630.475,1.0
2026-06-22,0.41,0.43,0.44,0.39,69011.31,2853.623,1.0
