date,open,close,high,low,volume,money,factor
2026-06-08,1.01,0.4,1.01,0.1,249750.0,10479.438,1.0
2026-06-09,0.44,0.44,0.44,0.41,138163.85,6024.809,1.0
2026-06-10,0.41,0.4,0.43,0.4,94509.39,3834.512,1.0
2026-06-11,0.38,0.38,0.39,0.36,68379.61,2548.99,1.0
2026-06-12,0.38,0.37,0.38,0.36,39021.4,1450.457,1.0
2026-06-15,0.37,0.37,0.38,0.37,29327.6,1102.269,1.0
2026-06-16,0.38,0.37,0.38,0.36,34505.32,1275.916,1.0
2026-06-17,0.37,0.37,0.38,0.36,25249.5,935.96,1.0
2026-06-18,0.37,0.39,0.4,0.37,54198.73,2078.551,1.0
2026-06-22,0.38,0.38,0.4,0.36,33710.1,1274.913,1.0
2026-06-24,0.37,0.36,0.38,0.36,29764.0,1107.137,1.0
2026-06-25,0.36,0.35,0.37,0.35,46287.66,1671.311,1.0
2026-06-26,0.35,0.36,0.37,0.34,28399.4,1018.203,1.0
2026-06-29,0.36,0.4,0.4,0.36,52720.0,2015.644,1.0
