date,open,close,high,low,volume,money,factor
2026-05-19,0.45,0.45,0.53,0.43,474212.33,21931.522,1.0
2026-05-20,0.41,0.42,0.44,0.4,243049.72,10219.386,1.0
2026-05-21,0.42,0.4,0.42,0.4,189145.08,7714.192,1.0
2026-05-22,0.4,0.43,0.45,0.39,164762.96,7022.052,1.0
2026-05-25,0.42,0.41,0.43,0.39,132337.43,5401.568,1.0
2026-05-26,0.4,0.39,0.41,0.38,104894.61,4128.862,1.0
2026-05-27,0.39,0.37,0.4,0.36,104269.11,3898.528,1.0
2026-05-28,0.36,0.37,0.37,0.36,51747.27,1880.586,1.0
2026-05-29,0.37,0.35,0.37,0.34,77926.51,2749.59,1.0
2026-06-01,0.35,0.36,0.38,0.34,94647.05,3405.164,1.0
2026-06-02,0.36,0.36,0.37,0.35,95048.29,3427.647,1.0
2026-06-03,0.35,0.34,0.36,0.34,93053.76,3233.49,1.0
2026-06-04,0.35,0.35,0.36,0.34,100977.09,3539.457,1.0
2026-06-05,0.34,0.35,0.36,0.34,135749.22,4743.312,1.0
2026-06-08,0.35,0.37,0.38,0.35,209983.0,7553.887,1.0
