date,open,close,high,low,volume,money,factor
2026-06-24,0.19,0.18,0.2,0.18,362257.28,6610.07004,1.0
2026-06-25,0.17,0.17,0.18,0.17,134332.88,2301.97296,1.0
2026-06-26,0.17,0.17,0.18,0.16,73806.93,1266.35081,1.0
2026-06-29,0.18,0.19,0.19,0.17,163844.16,2983.355,1.0
2026-06-30,0.19,0.21,0.21,0.18,241544.07,4943.82708,1.0
2026-07-01,0.22,0.23,0.23,0.21,87391.68,1966.89464,1.0
2026-07-03,0.24,0.24,0.25,0.23,105221.23,2534.4752,1.0
2026-07-06,0.24,0.24,0.25,0.22,178245.29,4275.71319,1.0
2026-07-07,0.23,0.22,0.23,0.22,87308.68,1944.37296,1.0
2026-07-08,0.21,0.2,0.21,0.2,82081.4,1646.542,1.0
2026-07-09,0.19,0.19,0.2,0.19,42694.01,820.64719,1.0
2026-07-10,0.19,0.21,0.21,0.19,116189.75,2382.51555,1.0
