date,open,close,high,low,volume,money,factor
2026-06-01,2.3,2.5,2.75,2.22,870422.02,206621.221,1.0
2026-06-02,2.4,2.25,2.42,2.25,324049.85,74123.34,1.0
2026-06-03,2.03,2.03,2.1,2.03,237050.1,48187.565,1.0
2026-06-04,1.9,1.9,1.96,1.84,367264.62,69910.311,1.0
2026-06-05,1.94,1.91,1.95,1.87,189347.87,36108.321,1.0
2026-06-08,1.91,1.9,1.96,1.88,144757.0,27699.52,1.0
2026-06-09,1.89,1.71,1.9,1.71,224740.23,39591.768,1.0
2026-06-10,1.64,1.54,1.65,1.54,221329.37,34803.015,1.0
2026-06-11,1.52,1.6,1.63,1.5,140942.2,22317.109,1.0
2026-06-12,1.6,1.64,1.66,1.57,92688.95,14932.041,1.0
2026-06-15,1.68,1.8,1.8,1.68,90195.38,15754.682,1.0
2026-06-16,1.85,1.81,1.91,1.78,152878.83,28054.246,1.0
2026-06-17,1.83,1.85,1.88,1.76,126165.3,23142.131,1.0
2026-06-18,1.85,1.84,1.92,1.82,143609.5,27064.048,1.0
2026-06-22,1.87,1.71,1.87,1.66,177195.94,30577.568,1.0
