date,open,close,high,low,volume,money,factor
2026-07-09,0.68,0.69,0.89,0.66,181629.19,13500.67501,1.0
2026-07-10,0.6,0.56,0.65,0.54,155180.1,8948.03961,1.0
2026-07-14,0.83,0.93,0.93,0.7,207198.95,17903.01983,1.0
2026-07-15,0.92,1.2,1.2,0.91,155239.34,17665.73141,1.0
2026-07-16,1.4,1.56,1.56,1.32,188379.99,28797.49011,1.0
2026-07-17,1.82,2.02,2.02,1.78,168756.35,33161.63562,1.0
2026-07-20,1.42,1.42,1.42,1.42,48740.86,6921.20212,1.0
2026-07-21,1.0,1.0,1.0,1.0,8239.54,823.954,1.0
2026-07-22,0.7,1.3,1.3,0.7,306030.96,28445.21492,1.0
2026-07-23,0.92,1.63,1.69,0.92,224986.47,31782.45514,1.0
2026-07-24,1.25,1.15,1.8,1.15,148703.85,20782.40318,1.0
2026-07-27,0.81,0.81,0.99,0.81,163679.68,13947.31111,1.0
2026-07-28,0.65,0.57,0.67,0.57,307816.17,18145.70588,1.0
2026-07-29,0.41,0.4,0.49,0.4,253569.75,10629.19886,1.0
