date,open,close,high,low,volume,money,factor
2026-06-08,0.2,0.2,0.4,0.17,791127.0,16503.333,1.0
2026-06-09,0.2,0.18,0.2,0.18,436833.82,8043.223,1.0
2026-06-10,0.17,0.17,0.18,0.16,296073.43,5046.601,1.0
2026-06-11,0.17,0.17,0.18,0.17,110048.03,1907.075,1.0
2026-06-12,0.18,0.18,0.18,0.17,83558.23,1465.172,1.0
2026-06-15,0.17,0.18,0.19,0.17,136157.06,2449.618,1.0
2026-06-16,0.18,0.18,0.19,0.17,150806.09,2711.166,1.0
2026-06-17,0.18,0.18,0.19,0.17,52772.88,955.969,1.0
2026-06-18,0.19,0.18,0.19,0.18,54971.4,1002.099,1.0
2026-06-22,0.18,0.18,0.19,0.18,136852.35,2483.028,1.0
2026-06-24,0.18,0.16,0.18,0.16,107960.38,1864.133,1.0
2026-06-25,0.16,0.17,0.17,0.15,102688.01,1654.827,1.0
2026-06-26,0.17,0.16,0.17,0.16,69343.46,1141.91,1.0
2026-06-29,0.17,0.17,0.17,0.16,172795.76,2896.492,1.0
